,UNITID,COSTT4_A,GRAD_DEBT_MDN10YR,NPT4_PUB,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P8
774,139959,27510,196.130788910247,14995,59100,45200,53000
775,139968,14346,185.529124644828,8925,34700,27400,31500
776,139986,15597,100.715810521478,7412,30200,25600,27500
779,140012,19075,137.821635450444,12953,36600,31600,33600
789,140678,11999,82.9368195483711,4571,26300,22800,24900
795,140942,14238,34.5402221767343,6071,29500,24300,26900
797,140960,17111,296.846599431725,10295,35000,26200,30200
806,141264,20495,262.698638832812,13336,41600,33200,37300
808,141334,23563,254.121892442088,16239,41700,33900,39100
811,141565,20727,217.334117441085,13259,41800,31700,38000
812,141574,23192,196.130788910247,13430,51800,39000,45600
815,141680,12740,79.8729385756651,7024,40600,30700,35000
816,141796,12590,97.8427595055499,6550,43200,36500,40800
817,141802,14955,111.317474786897,8827,40200,29400,30900
818,141811,12965,95.0969284608064,7460,37500,28000,34000
819,141839,14936,138.24570202106,8642,34200,30600,35600
820,141981,16758,153.724131848572,12423,41100,38300,38000
821,141990,15623,100.715810521478,9070,32400,26600,31300
824,142115,22693,217.334117441085,17107,43100,35600,39200
825,142179,12131,127.219971185025,7785,30200,31100,30900
826,142276,20646,212.446750214727,17410,43900,34900,39400
827,142285,21553,233.045783882435,12019,47000,35500,43400
829,142328,17731,196.130788910247,12962,38200,33700,36100
832,142443,11767,95.414978388769,7074,36000,29300,31700
836,142559,12361,84.8133141233502,6566,33700,28800,31000
843,143215,11671,73.2362967455129,7150,30700,25400,28400
845,143279,11484,88.7889382228823,4046,32800,27000,30400
855,143613,11190,52.0435698789408,3232,33200,26800,30700
859,144005,21945,324.67596812845,8969,38200,32200,34700
862,144157,12095,65.518285160288,5197,29700,23100,27900
863,144166,10140,88.7889382228823,4140,29700,24500,27700
864,144175,11342,81.060324973392,5196,27900,23200,25500
865,144184,10693,74.1798448651352,4204,34000,26300,31200
866,144193,9418,47.7074891943845,3552,32200,27200,30900
867,144209,10156,60.959569526158,4125,30700,24400,27500
868,144218,9412,68.910817725222,3151,36700,28000,34100
871,144564,9711,76.5228126677927,4191,30600,27400,28900
875,144865,13150,110.363325003009,5519,41500,33000,37500
877,144892,24506,227.935781706503,12872,46000,35500,40900
878,144944,8745,78.3462989214447,3628,35800,32300,35400
885,145336,20806,197.381785293566,9419,44000,40300,41700
892,145521,12041,85.1207623870474,6446,30100,26800,28900
894,145600,24382,177.090199889555,11329,61300,43100,54300
897,145637,31102,206.732453175666,15483,70900,52300,59600
899,145682,14084,94.3548119622271,8544,35000,28200,31900
901,145707,13010,68.910817725222,7601,34400,27100,28500
903,145813,31753,217.143287484307,20579,51600,41600,46700
904,145831,11499,87.2835018971928,6192,34400,28600,31700
907,146278,12275,85.1207623870474,7133,32600,28300,30800
908,146296,9555,102.952761681481,3695,36400,30100,34000
910,146348,11443,105.687991061959,5999,32300,27700,29900
